IDMascota,Timestamp,Raza,Edad,HR (bpm),Actividad (steps),GPS_Lat,GPS_Lon,Temperatura,Emoción
1,2025-06-11 14:00:00,Siamés,3,78,187,15.59,92.43,21.2ºC,Ansiedad
2,2025-06-11 14:00:00,Doberman,3,160,62,-59.76,6.98,25.2ºC,Relajación
3,2025-06-11 14:03:00,Bull Terrier,18,103,116,42.64,-106.24,20.6ºC,Relajación
4,2025-06-11 14:04:00,Siamés,19,118,129,65.3,136.02,21.8ºC,Alerta
5,2025-06-11 14:05:00,Maltés,19,108,87,-50.99,136.65,19.8ºC,Ansiedad
6,2025-06-11 14:06:00,Dachshund,5,120,71,-72.77,133.41,23.1ºC,Confusión
7,2025-06-11 14:07:00,Collie,18,76,138,-85.75,-94.03,25.8ºC,Tristeza
8,2025-06-11 14:08:00,Scottish Fold,10,133,63,25.55,-17.55,22.8ºC,Confusión
9,2025-06-11 14:09:00,Boxer,6,116,71,19.28,174.6,20.9ºC,Tristeza
10,2025-06-11 14:10:00,Cavalier King Charles,1,114,20,8.41,97.92,23.2ºC,Tranquilo
11,2025-06-11 14:11:00,Somalí,5,172,17,-48.25,-170.22,19.0ºC,Enfadado
12,2025-06-11 14:12:00,Cornish Rex,9,106,63,-19.64,-156.53,25.1ºC,Tristeza
13,2025-06-11 14:13:00,Setter Irlandés,12,71,81,17.01,-12.98,22.0ºC,Ansiedad
14,2025-06-11 14:14:00,Bull Terrier,14,121,109,-0.58,147.32,21.6ºC,Confusión
15,2025-06-11 14:15:00,Maltés,2,139,94,87.8,13.93,22.7ºC,Tranquilo
16,2025-06-11 14:16:00,Caniche,17,147,165,-65.44,-0.79,23.0ºC,Ansiedad
17,2025-06-11 14:17:00,Manx,14,142,31,35.13,-142.03,18.6ºC,Tranquilo
18,2025-06-11 14:18:00,Pug,13,67,10,-17.22,56.44,23.5ºC,Enfadado
19,2025-06-11 14:19:00,Pit Bull,9,154,44,-12.92,115.96,19.9ºC,Miedo
20,2025-06-11 14:20:00,Pastor Alemán,15,80,32,39.17,-43.05,23.7ºC,Confusión
21,2025-06-11 14:21:00,Dálmata,15,140,101,34.64,99.22,24.6ºC,Alerta
22,2025-06-11 14:22:00,Galgo,11,146,168,88.43,167.21,24.4ºC,Confusión
23,2025-06-11 14:23:00,Oriental,16,160,135,-66.89,-106.64,22.4ºC,Relajación
24,2025-06-11 14:24:00,Sphynx,17,177,10,-71.26,8.4,22.2ºC,Enfadado
25,2025-06-11 14:25:00,Labrador,4,139,178,40.38,-76.63,19.1ºC,Confusión
26,2025-06-11 14:26:00,Poodle,1,129,87,14.11,105.43,24.2ºC,Relajación
27,2025-06-11 14:27:00,Whippet,8,131,40,-40.65,27.93,20.2ºC,Alerta
28,2025-06-11 14:28:00,Shih Tzu,17,84,144,-75.7,48.45,22.0ºC,Tristeza
29,2025-06-11 14:29:00,Husky,3,141,75,-74.58,107.25,20.3ºC,Tranquilo
30,2025-06-11 14:30:00,Siberiano,20,148,120,70.95,-37.45,19.1ºC,Alerta
31,2025-06-11 14:31:00,Ragdoll,15,71,45,-55.46,149.43,23.0ºC,Ansiedad
32,2025-06-11 14:32:00,Maine Coon,15,74,159,-31.79,11.89,18.4ºC,Enfadado
33,2025-06-11 14:33:00,Cocker Spaniel,14,118,79,-49.2,-123.14,24.0ºC,Tristeza
34,2025-06-11 14:34:00,Birmano,14,85,53,-26.1,70.52,20.5ºC,Ansiedad
35,2025-06-11 14:35:00,Siamés,2,164,85,-77.5,105.57,18.0ºC,Ansiedad
36,2025-06-11 14:36:00,Weimaraner,13,168,91,3.43,-65.97,22.1ºC,Enfadado
37,2025-06-11 14:37:00,Ragdoll,14,85,147,-77.83,128.58,18.4ºC,Tristeza
38,2025-06-11 14:38:00,Gran Danés,19,106,160,54.06,146.21,20.2ºC,Miedo
39,2025-06-11 14:39:00,Pug,7,91,167,-47.93,-80.31,23.7ºC,Ansiedad
40,2025-06-11 14:40:00,Gran Danés,3,69,159,7.2,174.07,18.5ºC,Ansiedad
41,2025-06-11 14:41:00,Gran Danés,15,75,96,68.41,-129.34,24.7ºC,Tristeza
42,2025-06-11 14:42:00,Australian Shepherd,14,130,1,27.16,-107.27,18.0ºC,Confusión
43,2025-06-11 14:43:00,Bull Terrier,11,76,32,5.93,-113.68,20.0ºC,Ansiedad
44,2025-06-11 14:44:00,Beagle,15,82,157,-31.62,141.84,23.9ºC,Tranquilo
45,2025-06-11 14:45:00,Maine Coon,13,85,160,-30.06,55.55,20.5ºC,Tristeza
46,2025-06-11 14:46:00,Cavalier King Charles,18,144,76,30.51,-125.24,18.8ºC,Ansiedad
47,2025-06-11 14:47:00,Abyssinian,6,145,115,88.95,-21.48,20.9ºC,Enfadado
48,2025-06-11 14:48:00,Scottish Fold,3,66,153,29.13,41.51,20.2ºC,Alerta
49,2025-06-11 14:49:00,Poodle,19,73,149,10.4,-149.95,24.7ºC,Tranquilo
50,2025-06-11 14:50:00,American Shorthair,15,138,102,41.52,137.67,20.5ºC,Relajación
51,2025-06-11 14:51:00,American Shorthair,5,176,193,-6.26,109.3,24.3ºC,Relajación
52,2025-06-11 14:52:00,Persa,10,66,165,-79.17,1.87,25.1ºC,Alerta
53,2025-06-11 14:53:00,Cornish Rex,7,68,102,11.21,168.17,21.5ºC,Relajación
54,2025-06-11 14:54:00,Golden Retriever,17,174,89,82.37,-29.61,25.3ºC,Alerta
55,2025-06-11 14:55:00,Beagle,7,107,173,-58.45,174.28,21.0ºC,Ansiedad
56,2025-06-11 14:56:00,Oriental,12,131,121,34.2,60.45,25.7ºC,Tranquilo
57,2025-06-11 14:57:00,Weimaraner,17,173,142,-53.83,48.48,18.7ºC,Tranquilo
58,2025-06-11 14:58:00,Akita,13,118,105,6.45,-120.26,23.5ºC,Confusión
59,2025-06-11 14:59:00,Shiba Inu,20,146,118,-72.6,137.49,22.0ºC,Alerta
60,2025-06-11 15:00:00,Caniche,4,152,171,-8.93,-26.1,21.1ºC,Tranquilo
61,2025-06-11 15:01:00,Collie,10,141,48,46.11,-121.6,23.1ºC,Confusión
62,2025-06-11 15:02:00,Shih Tzu,3,154,103,-27.44,-175.46,23.6ºC,Tristeza
63,2025-06-11 15:03:00,Pastor Alemán,9,153,60,29.68,21.51,18.0ºC,Confusión
64,2025-06-11 15:04:00,Manx,13,175,194,53.18,9.86,19.3ºC,Enfadado
65,2025-06-11 15:05:00,Bull Terrier,18,98,122,76.89,78.97,23.7ºC,Miedo
66,2025-06-11 15:06:00,Akita,15,158,133,-47.76,140.49,23.3ºC,Ansiedad
