IDAudio,IDMascota,Timestamp,Frecuencia_Max (Hz),Espectrograma (path),Emoción
V001,1,2025-06-11 13:58:00,444,/spectrograms/V001.png,Alegría
V002,2,2025-06-11 13:59:00,500,/spectrograms/V002.png,Necesita afecto
V003,3,2025-06-11 13:59:30,511,/spectrograms/V003.png,Alegría
V004,4,2025-06-11 14:00:00,519,/spectrograms/V004.png,Dolor
V005,5,2025-06-11 14:00:30,539,/spectrograms/V005.png,Jugar
V006,6,2025-06-11 14:01:00,345,/spectrograms/V006.png,Alegría
V007,7,2025-06-11 14:01:30,334,/spectrograms/V007.png,Alegría
V008,8,2025-06-11 14:02:00,552,/spectrograms/V008.png,Necesita afecto
V009,9,2025-06-11 14:02:30,381,/spectrograms/V009.png,Necesita afecto
V010,10,2025-06-11 14:03:00,555,/spectrograms/V010.png,Hambre
V011,11,2025-06-11 14:03:30,496,/spectrograms/V011.png,Necesita afecto
V012,12,2025-06-11 14:04:00,309,/spectrograms/V012.png,Sed
V013,13,2025-06-11 14:04:30,585,/spectrograms/V013.png,Dolor
V014,14,2025-06-11 14:05:00,541,/spectrograms/V014.png,Dolor
V015,15,2025-06-11 14:05:30,550,/spectrograms/V015.png,Jugar
V016,16,2025-06-11 14:06:00,304,/spectrograms/V016.png,Jugar
V017,17,2025-06-11 14:06:30,418,/spectrograms/V017.png,Dolor
V018,18,2025-06-11 14:07:00,588,/spectrograms/V018.png,Jugar
V019,19,2025-06-11 14:07:30,364,/spectrograms/V019.png,Hambre
V020,20,2025-06-11 14:08:00,445,/spectrograms/V020.png,Necesita afecto
V021,21,2025-06-11 14:08:30,523,/spectrograms/V021.png,Dolor
V022,22,2025-06-11 14:09:00,538,/spectrograms/V022.png,Jugar
V023,23,2025-06-11 14:09:30,476,/spectrograms/V023.png,Dolor
V024,24,2025-06-11 14:10:00,566,/spectrograms/V024.png,Sed
V025,25,2025-06-11 14:10:30,581,/spectrograms/V025.png,Alegría
V026,26,2025-06-11 14:11:00,362,/spectrograms/V026.png,Necesita afecto
V027,27,2025-06-11 14:11:30,516,/spectrograms/V027.png,Dolor
V028,28,2025-06-11 14:12:00,582,/spectrograms/V028.png,Alegría
V029,29,2025-06-11 14:12:30,476,/spectrograms/V029.png,Jugar
V030,30,2025-06-11 14:13:00,397,/spectrograms/V030.png,Alegría
V031,31,2025-06-11 14:13:30,404,/spectrograms/V031.png,Necesita afecto
V032,32,2025-06-11 14:14:00,398,/spectrograms/V032.png,Dolor
V033,33,2025-06-11 14:14:30,305,/spectrograms/V033.png,Sed
V034,34,2025-06-11 14:15:00,496,/spectrograms/V034.png,Jugar
V035,35,2025-06-11 14:15:30,432,/spectrograms/V035.png,Dolor
V036,36,2025-06-11 14:16:00,558,/spectrograms/V036.png,Necesita afecto
V037,37,2025-06-11 14:16:30,322,/spectrograms/V037.png,Jugar
V038,38,2025-06-11 14:17:00,352,/spectrograms/V038.png,Hambre
V039,39,2025-06-11 14:17:30,464,/spectrograms/V039.png,Alegría
V040,40,2025-06-11 14:18:00,501,/spectrograms/V040.png,Necesita afecto
V041,41,2025-06-11 14:18:30,382,/spectrograms/V041.png,Hambre
V042,42,2025-06-11 14:19:00,444,/spectrograms/V042.png,Dolor
V043,43,2025-06-11 14:19:30,384,/spectrograms/V043.png,Sed
V044,44,2025-06-11 14:20:00,377,/spectrograms/V044.png,Jugar
V045,45,2025-06-11 14:20:30,300,/spectrograms/V045.png,Alegría
V046,46,2025-06-11 14:21:00,350,/spectrograms/V046.png,Jugar
V047,47,2025-06-11 14:21:30,472,/spectrograms/V047.png,Dolor
V048,48,2025-06-11 14:22:00,504,/spectrograms/V048.png,Jugar
V049,49,2025-06-11 14:22:30,559,/spectrograms/V049.png,Alegría
V050,50,2025-06-11 14:23:00,587,/spectrograms/V050.png,Dolor
V051,51,2025-06-11 14:23:30,333,/spectrograms/V051.png,Jugar
V052,52,2025-06-11 14:24:00,394,/spectrograms/V052.png,Sed
V053,53,2025-06-11 14:24:30,371,/spectrograms/V053.png,Necesita afecto
V054,54,2025-06-11 14:25:00,338,/spectrograms/V054.png,Dolor
V055,55,2025-06-11 14:25:30,453,/spectrograms/V055.png,Necesita afecto
V056,56,2025-06-11 14:26:00,549,/spectrograms/V056.png,Dolor
V057,57,2025-06-11 14:26:30,461,/spectrograms/V057.png,Sed
V058,58,2025-06-11 14:27:00,417,/spectrograms/V058.png,Necesita afecto
V059,59,2025-06-11 14:27:30,558,/spectrograms/V059.png,Hambre
V060,60,2025-06-11 14:28:00,567,/spectrograms/V060.png,Alegría
V061,61,2025-06-11 14:28:30,353,/spectrograms/V061.png,Hambre
V062,62,2025-06-11 14:29:00,535,/spectrograms/V062.png,Jugar
V063,63,2025-06-11 14:29:30,521,/spectrograms/V063.png,Sed
V064,64,2025-06-11 14:30:00,550,/spectrograms/V064.png,Hambre
V065,65,2025-06-11 14:30:30,411,/spectrograms/V065.png,Dolor
